Degree,Training_score,Testing_score,MSE_Test_dataset
113,0.9814849583521938,-1.0737023862756904e+32,3.624819256066731e+33
114,0.9813740515187289,-1.2723672758210436e+32,4.2955119231718436e+33
115,0.9813833720787957,-2.69226936165748e+32,9.089101364955653e+33
116,0.9814497852254344,-2.5474638668291202e+32,8.60023801441511e+33
117,0.9814691055066198,-5.059820856067456e+32,1.7081955210083733e+34
118,0.9814988618433909,-5.458765625870532e+32,1.8428792752938916e+34
119,0.9815233644990448,-1.2778870767976999e+33,4.314146771269035e+34
120,0.981532469315666,-1.0971388354654437e+33,3.7039407085313383e+34
121,0.9815571870169827,-2.1578956094249222e+33,7.285055577418537e+34
122,0.981593339885109,-2.2353131845296108e+33,7.546417310971967e+34
123,0.9816112369259921,-1.9776895344233218e+33,6.676679868213135e+34
124,0.9816428826446264,-2.3261114768781294e+33,7.852952345940566e+34
125,0.9816502490663397,-4.515550981758799e+33,1.5244500114417708e+35
126,0.9816851942203048,-4.49462401268286e+33,1.5173850666817338e+35
127,0.9817120211282385,-1.2822741397734089e+34,4.328957495875029e+35
128,0.9816543761931403,-1.4638938033098813e+34,4.942105479974159e+35
129,0.9816520858716379,-2.99121162571078e+34,1.0098330448399593e+36
130,0.9816403629610826,-2.8535453782081716e+34,9.633569196830788e+35
131,0.9816361787104788,-4.493207461568843e+34,1.5169068390256413e+36
132,0.9816660462569602,-4.663924679031729e+34,1.574540971641112e+36
133,0.9816802249735217,-7.071208103881713e+34,2.3872398558704666e+36
134,0.9816361175047402,-8.01264878722665e+34,2.705070230567717e+36
135,0.9816332491907587,-1.3428338380011399e+35,4.533407037091849e+36
136,0.981634255814096,-1.302315912019012e+35,4.3966185189761844e+36
137,0.9816419554355286,-2.291586320799902e+35,7.73639541902047e+36
138,0.9876492061300722,-1.1855675404380011e+36,4.002476016518692e+37
139,0.9876990439366554,-1.7698224681287513e+36,5.974920652402665e+37
140,0.9876147452831936,-6.705444169036052e+36,2.2637579514665714e+38
141,0.9877332106908235,-1.583477939607986e+37,5.345821524116562e+38
142,0.9874366948806234,-1.688088259629712e+37,5.698985964509908e+38
